,Month-Year,location,Death,iso_code
0,2020-02-01,Afghanistan,0,AFG
1,2020-03-01,Afghanistan,21,AFG
2,2020-04-01,Afghanistan,812,AFG
3,2020-05-01,Afghanistan,4924,AFG
4,2020-06-01,Afghanistan,14982,AFG
5,2020-07-01,Afghanistan,33439,AFG
6,2020-08-01,Afghanistan,42108,AFG
7,2020-09-01,Afghanistan,43060,AFG
8,2020-10-01,Afghanistan,46274,AFG
9,2020-11-01,Afghanistan,48777,AFG
10,2020-12-01,Afghanistan,62050,AFG
11,2021-01-01,Afghanistan,71891,AFG
12,2021-02-01,Afghanistan,67864,AFG
13,2021-03-01,Afghanistan,76227,AFG
14,2021-04-01,Afghanistan,76300,AFG
15,2021-05-01,Afghanistan,85386,AFG
16,2021-06-01,Afghanistan,114208,AFG
17,2021-07-01,Afghanistan,184478,AFG
18,2021-08-01,Afghanistan,216817,AFG
19,2021-09-01,Afghanistan,215185,AFG
20,2021-10-01,Afghanistan,224427,AFG
21,2021-11-01,Afghanistan,218866,AFG
22,2021-12-01,Afghanistan,227309,AFG
23,2022-01-01,Afghanistan,228855,AFG
24,2022-02-01,Afghanistan,210096,AFG
25,2022-03-01,Afghanistan,236979,AFG
26,2022-04-01,Afghanistan,230302,AFG
27,2022-05-01,Afghanistan,238432,AFG
28,2022-06-01,Afghanistan,231381,AFG
29,2022-07-01,Afghanistan,239718,AFG
30,2022-08-01,Afghanistan,240588,AFG
31,2022-09-01,Afghanistan,233728,AFG
32,2022-10-01,Afghanistan,242155,AFG
33,2022-11-01,Afghanistan,62605,AFG
34,2020-02-01,Africa,0,OWID_AFR
35,2020-03-01,Africa,1244,OWID_AFR
36,2020-04-01,Africa,28095,OWID_AFR
37,2020-05-01,Africa,86007,OWID_AFR
38,2020-06-01,Africa,210010,OWID_AFR
39,2020-07-01,Africa,453245,OWID_AFR
40,2020-08-01,Africa,787119,OWID_AFR
41,2020-09-01,Africa,992660,OWID_AFR
42,2020-10-01,Africa,1218154,OWID_AFR
43,2020-11-01,Africa,1428225,OWID_AFR
44,2020-12-01,Africa,1796945,OWID_AFR
